Date,Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating
21-05-2019,300-71-4605,Naypyitaw,Member,Male,Electronic accessories,86.04,5.00,21.51,451.71,Ewallet,430.20,4.76,21.51,4.8
22-05-2019,371-85-5789,Mandalay,Normal,Male,Health and beauty,87.98,3.00,13.20,277.14,Ewallet,263.94,4.76,13.20,5.1
23-05-2019,273-16-6619,Mandalay,Normal,Male,Home and lifestyle,33.20,2.00,3.32,69.72,Credit card,66.40,4.76,3.32,4.4
24-05-2019,636-48-8204,Yangon,Normal,Male,Electronic accessories,34.56,5.00,8.64,181.44,Ewallet,172.80,4.76,8.64,9.9
25-05-2019,549-59-1358,Yangon,Member,Male,Sports and travel,88.63,3.00,13.29,279.18,Ewallet,265.89,4.76,13.29,6.0
26-05-2019,227-03-5010,Yangon,Member,Female,Home and lifestyle,52.59,8.00,21.04,441.76,Credit card,420.72,4.76,21.04,8.5
27-05-2019,649-29-6775,Mandalay,Normal,Male,Fashion accessories,33.52,1.00,1.68,35.20,Cash,33.52,4.76,1.68,6.7
28-05-2019,189-17-4241,Yangon,Normal,Female,Fashion accessories,87.67,2.00,8.77,184.11,Credit card,175.34,4.76,8.77,7.7
29-05-2019,145-94-9061,Mandalay,Normal,Female,Food and beverages,88.36,5.00,22.09,463.89,Cash,441.80,4.76,22.09,9.6
30-05-2019,848-62-7243,Yangon,Normal,Male,Health and beauty,24.89,9.00,11.20,235.21,Cash,224.01,4.76,11.20,7.4
31-05-2019,871-79-8483,Mandalay,Normal,Male,Fashion accessories,94.13,5.00,23.53,494.18,Credit card,470.65,4.76,23.53,4.8
01-06-2019,149-71-6266,Mandalay,Member,Male,Sports and travel,78.07,9.00,35.13,737.76,Cash,702.63,4.76,35.13,4.5
02-06-2019,640-49-2076,Mandalay,Normal,Male,Sports and travel,83.78,8.00,33.51,703.75,Cash,670.24,4.76,33.51,5.1
03-06-2019,595-11-5460,Yangon,Normal,Male,Health and beauty,96.58,2.00,9.66,202.82,Credit card,193.16,4.76,9.66,5.1
04-06-2019,183-56-6882,Naypyitaw,Member,Female,Food and beverages,99.42,4.00,19.88,417.56,Ewallet,397.68,4.76,19.88,7.5
05-06-2019,232-16-2483,Naypyitaw,Member,Female,Sports and travel,68.12,1.00,3.41,71.53,Ewallet,68.12,4.76,3.41,6.8
06-06-2019,129-29-8530,Yangon,Member,Male,Sports and travel,62.62,5.00,15.66,328.76,Ewallet,313.10,4.76,15.66,7.0
07-06-2019,272-65-1806,Yangon,Normal,Female,Electronic accessories,60.88,9.00,27.40,575.32,Ewallet,547.92,4.76,27.40,4.7
08-06-2019,333-73-7901,Naypyitaw,Normal,Female,Health and beauty,54.92,8.00,21.97,461.33,Ewallet,439.36,4.76,21.97,7.6
09-06-2019,777-82-7220,Mandalay,Member,Male,Home and lifestyle,30.12,8.00,12.05,253.01,Cash,240.96,4.76,12.05,7.7
10-06-2019,280-35-5823,Mandalay,Member,Female,Home and lifestyle,86.72,1.00,4.34,91.06,Ewallet,86.72,4.76,4.34,7.9
11-06-2019,554-53-8700,Naypyitaw,Member,Male,Home and lifestyle,56.11,2.00,5.61,117.83,Cash,112.22,4.76,5.61,6.3
12-06-2019,354-25-5821,Mandalay,Member,Female,Sports and travel,69.12,6.00,20.74,435.46,Cash,414.72,4.76,20.74,5.6
13-06-2019,228-96-1411,Naypyitaw,Member,Female,Food and beverages,98.70,8.00,39.48,829.08,Cash,789.60,4.76,39.48,7.6
14-06-2019,617-15-4209,Naypyitaw,Member,Male,Health and beauty,15.37,2.00,1.54,32.28,Cash,30.74,4.76,1.54,7.2
15-06-2019,132-32-9879,Mandalay,Member,Female,Electronic accessories,93.96,4.00,18.79,394.63,Cash,375.84,4.76,18.79,9.5
16-06-2019,370-41-7321,Mandalay,Member,Male,Health and beauty,56.69,9.00,25.51,535.72,Credit card,510.21,4.76,25.51,8.4
17-06-2019,727-46-3608,Mandalay,Member,Female,Food and beverages,20.01,9.00,9.00,189.09,Ewallet,180.09,4.76,9.00,4.1
18-06-2019,669-54-1719,Mandalay,Member,Male,Electronic accessories,18.93,6.00,5.68,119.26,Credit card,113.58,4.76,5.68,8.1
19-06-2019,574-22-5561,Naypyitaw,Member,Female,Fashion accessories,82.63,10.00,41.32,867.62,Ewallet,826.30,4.76,41.32,7.9
20-06-2019,326-78-5178,Naypyitaw,Member,Male,Food and beverages,91.40,7.00,31.99,671.79,Cash,639.80,4.76,31.99,9.5
21-06-2019,162-48-8011,Yangon,Member,Female,Food and beverages,44.59,5.00,11.15,234.10,Cash,222.95,4.76,11.15,8.5
22-06-2019,616-24-2851,Mandalay,Member,Female,Fashion accessories,17.87,4.00,3.57,75.05,Ewallet,71.48,4.76,3.57,6.5
23-06-2019,778-71-5554,Naypyitaw,Member,Male,Fashion accessories,15.43,1.00,0.77,16.20,Credit card,15.43,4.76,0.77,6.1
24-06-2019,242-55-6721,Mandalay,Normal,Male,Home and lifestyle,16.16,2.00,1.62,33.94,Ewallet,32.32,4.76,1.62,6.5
25-06-2019,399-46-5918,Naypyitaw,Normal,Female,Electronic accessories,85.98,8.00,34.39,722.23,Cash,687.84,4.76,34.39,8.2
26-06-2019,106-35-6779,Yangon,Member,Male,Home and lifestyle,44.34,2.00,4.43,93.11,Cash,88.68,4.76,4.43,5.8
27-06-2019,635-40-6220,Yangon,Normal,Male,Health and beauty,89.60,8.00,35.84,752.64,Ewallet,716.80,4.76,35.84,6.6
28-06-2019,817-48-8732,Yangon,Member,Female,Home and lifestyle,72.35,10.00,36.18,759.68,Cash,723.50,4.76,36.18,5.4
29-06-2019,120-06-4233,Naypyitaw,Normal,Male,Electronic accessories,30.61,6.00,9.18,192.84,Cash,183.66,4.76,9.18,9.3
30-06-2019,285-68-5083,Naypyitaw,Member,Female,Sports and travel,24.74,3.00,3.71,77.93,Credit card,74.22,4.76,3.71,10.0
01-07-2019,803-83-5989,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6.00,16.72,351.10,Ewallet,334.38,4.76,16.72,7.0
02-07-2019,347-34-2234,Mandalay,Member,Female,Sports and travel,55.07,9.00,24.78,520.41,Ewallet,495.63,4.76,24.78,10.0
03-07-2019,199-75-8169,Yangon,Member,Male,Sports and travel,15.81,10.00,7.91,166.01,Credit card,158.10,4.76,7.91,8.6
04-07-2019,853-23-2453,Mandalay,Member,Male,Health and beauty,75.74,4.00,15.15,318.11,Cash,302.96,4.76,15.15,7.6
05-07-2019,877-22-3308,Yangon,Member,Male,Health and beauty,15.87,10.00,7.94,166.64,Cash,158.70,4.76,7.94,5.8
06-07-2019,838-78-4295,Naypyitaw,Normal,Female,Health and beauty,33.47,2.00,3.35,70.29,Ewallet,66.94,4.76,3.35,6.7
07-07-2019,109-28-2512,Mandalay,Member,Female,Fashion accessories,97.61,6.00,29.28,614.94,Ewallet,585.66,4.76,29.28,9.9
08-07-2019,232-11-3025,Yangon,Normal,Male,Sports and travel,78.77,10.00,39.39,827.09,Cash,787.70,4.76,39.39,6.4
09-07-2019,382-03-4532,Yangon,Member,Female,Health and beauty,18.33,1.00,0.92,19.25,Cash,18.33,4.76,0.92,4.3
10-07-2019,393-65-2792,Naypyitaw,Normal,Male,Food and beverages,89.48,10.00,44.74,939.54,Credit card,894.80,4.76,44.74,9.6
11-07-2019,796-12-2025,Naypyitaw,Normal,Male,Fashion accessories,62.12,10.00,31.06,652.26,Cash,621.20,4.76,31.06,5.9
12-07-2019,510-95-6347,Mandalay,Member,Female,Food and beverages,48.52,3.00,7.28,152.84,Ewallet,145.56,4.76,7.28,4.0
13-07-2019,841-35-6630,Naypyitaw,Normal,Female,Electronic accessories,75.91,6.00,22.77,478.23,Cash,455.46,4.76,22.77,8.7
14-07-2019,287-21-9091,Yangon,Normal,Male,Home and lifestyle,74.67,9.00,33.60,705.63,Ewallet,672.03,4.76,33.60,9.4
15-07-2019,732-94-0499,Naypyitaw,Normal,Female,Electronic accessories,41.65,10.00,20.83,437.33,Credit card,416.50,4.76,20.83,5.4
16-07-2019,263-10-3913,Naypyitaw,Member,Male,Fashion accessories,49.04,9.00,22.07,463.43,Credit card,441.36,4.76,22.07,8.6
17-07-2019,381-20-0914,Yangon,Member,Female,Fashion accessories,20.01,9.00,9.00,189.09,Credit card,180.09,4.76,9.00,5.7
18-07-2019,829-49-1914,Naypyitaw,Member,Female,Food and beverages,78.31,10.00,39.16,822.26,Ewallet,783.10,4.76,39.16,6.6
19-07-2019,756-01-7507,Naypyitaw,Normal,Female,Health and beauty,20.38,5.00,5.10,107.00,Cash,101.90,4.76,5.10,6.0
20-07-2019,870-72-4431,Naypyitaw,Normal,Female,Health and beauty,99.19,6.00,29.76,624.90,Credit card,595.14,4.76,29.76,5.5
21-07-2019,847-38-7188,Mandalay,Normal,Female,Food and beverages,96.68,3.00,14.50,304.54,Ewallet,290.04,4.76,14.50,6.4
22-07-2019,480-63-2856,Naypyitaw,Normal,Male,Food and beverages,19.25,8.00,7.70,161.70,Ewallet,154.00,4.76,7.70,6.6
23-07-2019,787-56-0757,Naypyitaw,Member,Female,Food and beverages,80.36,4.00,16.07,337.51,Credit card,321.44,4.76,16.07,8.3
24-07-2019,360-39-5055,Naypyitaw,Member,Male,Sports and travel,48.91,5.00,12.23,256.78,Cash,244.55,4.76,12.23,6.6
25-07-2019,730-50-9884,Naypyitaw,Normal,Female,Sports and travel,83.06,7.00,29.07,610.49,Ewallet,581.42,4.76,29.07,4.0
26-07-2019,362-58-8315,Naypyitaw,Normal,Male,Fashion accessories,76.52,5.00,19.13,401.73,Cash,382.60,4.76,19.13,9.9
27-07-2019,633-44-8566,Yangon,Member,Male,Food and beverages,49.38,7.00,17.28,362.94,Credit card,345.66,4.76,17.28,7.3
28-07-2019,504-35-8843,Yangon,Normal,Male,Sports and travel,42.47,1.00,2.12,44.59,Cash,42.47,4.76,2.12,5.7
29-07-2019,318-68-5053,Mandalay,Normal,Female,Health and beauty,76.99,6.00,23.10,485.04,Cash,461.94,4.76,23.10,6.1
30-07-2019,565-80-5980,Naypyitaw,Member,Female,Home and lifestyle,47.38,4.00,9.48,199.00,Cash,189.52,4.76,9.48,7.1
31-07-2019,225-32-0908,Naypyitaw,Normal,Female,Sports and travel,44.86,10.00,22.43,471.03,Ewallet,448.60,4.76,22.43,8.2
01-08-2019,873-51-0671,Yangon,Member,Female,Sports and travel,21.98,7.00,7.69,161.55,Ewallet,153.86,4.76,7.69,5.1
02-08-2019,152-08-9985,Mandalay,Member,Male,Health and beauty,64.36,9.00,28.96,608.20,Credit card,579.24,4.76,28.96,8.6
03-08-2019,512-91-0811,Naypyitaw,Normal,Male,Health and beauty,89.75,1.00,4.49,94.24,Credit card,89.75,4.76,4.49,6.6
04-08-2019,594-34-4444,Yangon,Normal,Male,Electronic accessories,97.16,1.00,4.86,102.02,Ewallet,97.16,4.76,4.86,7.2
05-08-2019,766-85-7061,Mandalay,Normal,Male,Health and beauty,87.87,10.00,43.94,922.64,Ewallet,878.70,4.76,43.94,5.1
06-08-2019,871-39-9221,Naypyitaw,Normal,Female,Electronic accessories,12.45,6.00,3.74,78.44,Cash,74.70,4.76,3.74,4.1
07-08-2019,865-92-6136,Yangon,Normal,Male,Food and beverages,52.75,3.00,7.91,166.16,Ewallet,158.25,4.76,7.91,9.3
08-08-2019,733-01-9107,Mandalay,Normal,Male,Home and lifestyle,82.70,6.00,24.81,521.01,Cash,496.20,4.76,24.81,7.4
09-08-2019,163-56-7055,Naypyitaw,Member,Male,Fashion accessories,48.71,1.00,2.44,51.15,Cash,48.71,4.76,2.44,4.1
10-08-2019,189-98-2939,Naypyitaw,Normal,Male,Fashion accessories,78.55,9.00,35.35,742.30,Cash,706.95,4.76,35.35,7.2
11-08-2019,551-21-3069,Naypyitaw,Normal,Female,Electronic accessories,23.07,9.00,10.38,218.01,Cash,207.63,4.76,10.38,4.9
12-08-2019,212-62-1842,Yangon,Normal,Male,Food and beverages,58.26,6.00,17.48,367.04,Cash,349.56,4.76,17.48,9.9
13-08-2019,716-39-1409,Mandalay,Normal,Male,Health and beauty,30.35,7.00,10.62,223.07,Cash,212.45,4.76,10.62,8.0
14-08-2019,704-48-3927,Yangon,Member,Male,Electronic accessories,88.67,10.00,44.34,931.04,Ewallet,886.70,4.76,44.34,7.3
15-08-2019,628-34-3388,Naypyitaw,Normal,Male,Fashion accessories,27.38,6.00,8.21,172.49,Credit card,164.28,4.76,8.21,7.9
16-08-2019,630-74-5166,Yangon,Normal,Male,Sports and travel,62.13,6.00,18.64,391.42,Cash,372.78,4.76,18.64,7.4
17-08-2019,588-01-7461,Naypyitaw,Normal,Female,Food and beverages,33.98,9.00,15.29,321.11,Cash,305.82,4.76,15.29,4.2
18-08-2019,861-77-0145,Naypyitaw,Member,Male,Electronic accessories,81.97,10.00,40.99,860.69,Cash,819.70,4.76,40.99,9.2
19-08-2019,479-26-8945,Mandalay,Member,Female,Sports and travel,16.49,2.00,1.65,34.63,Ewallet,32.98,4.76,1.65,4.6
20-08-2019,210-67-5886,Naypyitaw,Member,Female,Health and beauty,98.21,3.00,14.73,309.36,Credit card,294.63,4.76,14.73,7.8
21-08-2019,227-78-1148,Mandalay,Normal,Female,Fashion accessories,72.84,7.00,25.49,535.37,Cash,509.88,4.76,25.49,8.4
22-08-2019,645-44-1170,Yangon,Member,Male,Home and lifestyle,58.07,9.00,26.13,548.76,Ewallet,522.63,4.76,26.13,4.3
23-08-2019,237-01-6122,Naypyitaw,Member,Female,Home and lifestyle,80.79,9.00,36.36,763.47,Credit card,727.11,4.76,36.36,9.5
24-08-2019,225-98-1496,Naypyitaw,Normal,Female,Fashion accessories,27.02,3.00,4.05,85.11,Credit card,81.06,4.76,4.05,7.1
25-08-2019,291-32-1427,Mandalay,Member,Male,Fashion accessories,21.94,5.00,5.49,115.19,Ewallet,109.70,4.76,5.49,5.3
26-08-2019,659-65-8956,Mandalay,Member,Male,Fashion accessories,51.36,1.00,2.57,53.93,Ewallet,51.36,4.76,2.57,5.2
27-08-2019,642-32-2990,Yangon,Normal,Female,Food and beverages,10.96,10.00,5.48,115.08,Ewallet,109.60,4.76,5.48,6.0
28-08-2019,378-24-2715,Mandalay,Normal,Male,Home and lifestyle,53.44,2.00,5.34,112.22,Ewallet,106.88,4.76,5.34,4.1
29-08-2019,638-60-7125,Yangon,Normal,Female,Electronic accessories,99.56,8.00,39.82,836.30,Credit card,796.48,4.76,39.82,5.2
30-08-2019,659-36-1684,Naypyitaw,Member,Male,Sports and travel,57.12,7.00,19.99,419.83,Credit card,399.84,4.76,19.99,6.5
31-08-2019,219-22-9386,Mandalay,Member,Male,Sports and travel,99.96,9.00,44.98,944.62,Credit card,899.64,4.76,44.98,4.2
01-09-2019,336-78-2147,Naypyitaw,Member,Male,Home and lifestyle,63.91,8.00,25.56,536.84,Credit card,511.28,4.76,25.56,4.6
02-09-2019,268-27-6179,Mandalay,Member,Female,Fashion accessories,56.47,8.00,22.59,474.35,Ewallet,451.76,4.76,22.59,7.3
03-09-2019,668-90-8900,Yangon,Normal,Female,Home and lifestyle,93.69,7.00,32.79,688.62,Credit card,655.83,4.76,32.79,4.5
04-09-2019,870-54-3162,Yangon,Normal,Female,Sports and travel,32.25,5.00,8.06,169.31,Cash,161.25,4.76,8.06,9.0
05-09-2019,189-08-9157,Naypyitaw,Normal,Female,Fashion accessories,31.73,9.00,14.28,299.85,Credit card,285.57,4.76,14.28,5.9
06-09-2019,663-86-9076,Naypyitaw,Member,Female,Food and beverages,68.54,8.00,27.42,575.74,Ewallet,548.32,4.76,27.42,8.5
07-09-2019,549-84-7482,Mandalay,Normal,Female,Sports and travel,90.28,9.00,40.63,853.15,Ewallet,812.52,4.76,40.63,7.2
08-09-2019,191-10-6171,Mandalay,Normal,Female,Fashion accessories,39.62,7.00,13.87,291.21,Cash,277.34,4.76,13.87,7.5
09-09-2019,802-70-5316,Yangon,Member,Female,Sports and travel,92.13,6.00,27.64,580.42,Cash,552.78,4.76,27.64,8.3
10-09-2019,695-51-0018,Mandalay,Normal,Female,Sports and travel,34.84,4.00,6.97,146.33,Cash,139.36,4.76,6.97,7.4
11-09-2019,590-83-4591,Mandalay,Member,Male,Electronic accessories,87.45,6.00,26.24,550.94,Credit card,524.70,4.76,26.24,8.8
12-09-2019,483-71-1164,Naypyitaw,Normal,Female,Health and beauty,81.30,6.00,24.39,512.19,Ewallet,487.80,4.76,24.39,5.3
13-09-2019,597-78-7908,Naypyitaw,Normal,Male,Fashion accessories,90.22,3.00,13.53,284.19,Cash,270.66,4.76,13.53,6.2
14-09-2019,700-81-1757,Yangon,Normal,Female,Electronic accessories,26.31,5.00,6.58,138.13,Credit card,131.55,4.76,6.58,8.8
15-09-2019,354-39-5160,Yangon,Member,Female,Home and lifestyle,34.42,6.00,10.33,216.85,Cash,206.52,4.76,10.33,9.8
16-09-2019,241-72-9525,Mandalay,Normal,Male,Sports and travel,51.91,10.00,25.96,545.06,Cash,519.10,4.76,25.96,8.2
17-09-2019,575-30-8091,Yangon,Normal,Male,Sports and travel,72.50,8.00,29.00,609.00,Ewallet,580.00,4.76,29.00,9.2
18-09-2019,731-81-9469,Naypyitaw,Member,Female,Sports and travel,89.80,10.00,44.90,942.90,Credit card,898.00,4.76,44.90,5.4
19-09-2019,280-17-4359,Naypyitaw,Member,Male,Health and beauty,90.50,10.00,45.25,950.25,Cash,905.00,4.76,45.25,8.1
20-09-2019,338-65-2210,Naypyitaw,Member,Female,Health and beauty,68.60,10.00,34.30,720.30,Cash,686.00,4.76,34.30,9.1
21-09-2019,488-25-4221,Naypyitaw,Member,Female,Food and beverages,30.41,1.00,1.52,31.93,Credit card,30.41,4.76,1.52,8.4
22-09-2019,239-10-7476,Yangon,Normal,Female,Home and lifestyle,77.95,6.00,23.39,491.09,Ewallet,467.70,4.76,23.39,8.0
23-09-2019,458-41-1477,Naypyitaw,Normal,Female,Health and beauty,46.26,6.00,13.88,291.44,Credit card,277.56,4.76,13.88,9.5
24-09-2019,685-64-1609,Yangon,Member,Female,Fashion accessories,30.14,10.00,15.07,316.47,Ewallet,301.40,4.76,15.07,9.2
25-09-2019,568-90-5112,Naypyitaw,Normal,Male,Health and beauty,66.14,4.00,13.23,277.79,Credit card,264.56,4.76,13.23,5.6
26-09-2019,262-47-2794,Mandalay,Member,Male,Home and lifestyle,71.86,8.00,28.74,603.62,Credit card,574.88,4.76,28.74,6.2
27-09-2019,238-49-0436,Yangon,Normal,Male,Health and beauty,32.46,8.00,12.98,272.66,Credit card,259.68,4.76,12.98,4.9
28-09-2019,608-96-3517,Mandalay,Member,Female,Fashion accessories,91.54,4.00,18.31,384.47,Credit card,366.16,4.76,18.31,4.8
29-09-2019,584-86-7256,Naypyitaw,Member,Male,Sports and travel,34.56,7.00,12.10,254.02,Credit card,241.92,4.76,12.10,7.3
30-09-2019,746-94-0204,Yangon,Normal,Male,Fashion accessories,83.24,9.00,37.46,786.62,Credit card,749.16,4.76,37.46,7.4
01-10-2019,214-17-6927,Naypyitaw,Normal,Female,Food and beverages,16.48,6.00,4.94,103.82,Ewallet,98.88,4.76,4.94,9.9
02-10-2019,400-89-4171,Naypyitaw,Normal,Female,Sports and travel,80.97,8.00,32.39,680.15,Cash,647.76,4.76,32.39,9.3
03-10-2019,782-95-9291,Yangon,Member,Male,Food and beverages,92.29,5.00,23.07,484.52,Credit card,461.45,4.76,23.07,9.0
04-10-2019,279-74-2924,Mandalay,Member,Male,Electronic accessories,72.17,1.00,3.61,75.78,Cash,72.17,4.76,3.61,6.1
05-10-2019,307-85-2293,Mandalay,Normal,Male,Home and lifestyle,50.28,5.00,12.57,263.97,Ewallet,251.40,4.76,12.57,9.7
06-10-2019,743-04-1105,Mandalay,Member,Male,Health and beauty,97.22,9.00,43.75,918.73,Ewallet,874.98,4.76,43.75,6.0
07-10-2019,423-57-2993,Mandalay,Normal,Male,Sports and travel,93.39,6.00,28.02,588.36,Ewallet,560.34,4.76,28.02,10.0
08-10-2019,894-41-5205,Naypyitaw,Normal,Female,Food and beverages,43.18,8.00,17.27,362.71,Credit card,345.44,4.76,17.27,8.3
09-10-2019,275-28-0149,Yangon,Normal,Male,Sports and travel,63.69,1.00,3.18,66.87,Cash,63.69,4.76,3.18,6.0
10-10-2019,101-17-6199,Yangon,Normal,Male,Food and beverages,45.79,7.00,16.03,336.56,Credit card,320.53,4.76,16.03,7.0
11-10-2019,423-80-0988,Naypyitaw,Normal,Male,Sports and travel,76.40,2.00,7.64,160.44,Ewallet,152.80,4.76,7.64,6.5
12-10-2019,548-46-9322,Mandalay,Normal,Male,Food and beverages,39.90,10.00,19.95,418.95,Credit card,399.00,4.76,19.95,5.9
13-10-2019,505-02-0892,Mandalay,Member,Male,Health and beauty,42.57,8.00,17.03,357.59,Ewallet,340.56,4.76,17.03,5.6
14-10-2019,234-65-2137,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10.00,47.79,1003.59,Cash,955.80,4.76,47.79,4.8
15-10-2019,687-47-8271,Yangon,Normal,Male,Fashion accessories,98.98,10.00,49.49,1039.29,Credit card,989.80,4.76,49.49,8.7
16-10-2019,796-32-9050,Yangon,Normal,Male,Food and beverages,51.28,6.00,15.38,323.06,Cash,307.68,4.76,15.38,6.5
17-10-2019,105-31-1824,Yangon,Member,Male,Sports and travel,69.52,7.00,24.33,510.97,Credit card,486.64,4.76,24.33,8.5
18-10-2019,249-42-3782,Yangon,Normal,Male,Health and beauty,70.01,5.00,17.50,367.55,Ewallet,350.05,4.76,17.50,5.5
19-10-2019,316-55-4634,Mandalay,Member,Male,Food and beverages,80.05,5.00,20.01,420.26,Credit card,400.25,4.76,20.01,9.4
20-10-2019,733-33-4967,Naypyitaw,Normal,Male,Electronic accessories,20.85,8.00,8.34,175.14,Cash,166.80,4.76,8.34,6.3
21-10-2019,608-27-6295,Mandalay,Member,Male,Electronic accessories,52.89,6.00,15.87,333.21,Credit card,317.34,4.76,15.87,9.8
22-10-2019,414-12-7047,Mandalay,Normal,Male,Food and beverages,19.79,8.00,7.92,166.24,Ewallet,158.32,4.76,7.92,8.7
23-10-2019,827-26-2100,Yangon,Member,Male,Home and lifestyle,33.84,9.00,15.23,319.79,Ewallet,304.56,4.76,15.23,8.8
24-10-2019,175-54-2529,Yangon,Member,Male,Food and beverages,22.17,8.00,8.87,186.23,Credit card,177.36,4.76,8.87,9.6
25-10-2019,139-52-2867,Naypyitaw,Normal,Female,Fashion accessories,22.51,7.00,7.88,165.45,Credit card,157.57,4.76,7.88,4.8
26-10-2019,407-63-8975,Yangon,Normal,Male,Food and beverages,73.88,6.00,22.16,465.44,Ewallet,443.28,4.76,22.16,4.4
27-10-2019,342-65-4817,Naypyitaw,Member,Male,Health and beauty,86.80,3.00,13.02,273.42,Ewallet,260.40,4.76,13.02,9.9
28-10-2019,130-98-8941,Naypyitaw,Normal,Male,Fashion accessories,64.26,7.00,22.49,472.31,Cash,449.82,4.76,22.49,5.7
29-10-2019,434-83-9547,Naypyitaw,Member,Male,Food and beverages,38.47,8.00,15.39,323.15,Cash,307.76,4.76,15.39,7.7
30-10-2019,851-28-6367,Yangon,Member,Male,Sports and travel,15.50,10.00,7.75,162.75,Ewallet,155.00,4.76,7.75,8.0
31-10-2019,824-88-3614,Naypyitaw,Normal,Male,Health and beauty,34.31,8.00,13.72,288.20,Ewallet,274.48,4.76,13.72,5.7
01-11-2019,586-25-0848,Yangon,Normal,Female,Sports and travel,12.34,7.00,4.32,90.70,Credit card,86.38,4.76,4.32,6.7
02-11-2019,895-66-0685,Mandalay,Member,Male,Food and beverages,18.08,3.00,2.71,56.95,Ewallet,54.24,4.76,2.71,8.0
03-11-2019,305-14-0245,Mandalay,Member,Female,Home and lifestyle,94.49,8.00,37.80,793.72,Ewallet,755.92,4.76,37.80,7.5
04-11-2019,732-04-5373,Mandalay,Member,Male,Home and lifestyle,46.47,4.00,9.29,195.17,Cash,185.88,4.76,9.29,7.0
05-11-2019,400-60-7251,Yangon,Normal,Male,Home and lifestyle,74.07,1.00,3.70,77.77,Ewallet,74.07,4.76,3.70,9.9
06-11-2019,593-65-1552,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4.00,13.96,293.20,Credit card,279.24,4.76,13.96,5.9
07-11-2019,284-34-9626,Mandalay,Normal,Female,Home and lifestyle,77.04,3.00,11.56,242.68,Credit card,231.12,4.76,11.56,7.2
08-11-2019,437-58-8131,Mandalay,Normal,Female,Fashion accessories,73.52,2.00,7.35,154.39,Ewallet,147.04,4.76,7.35,4.6
09-11-2019,286-43-6208,Naypyitaw,Normal,Female,Food and beverages,87.80,9.00,39.51,829.71,Cash,790.20,4.76,39.51,9.2
